Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Vincent Angelini,sct SCO,GK,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,GK
Benjamin Arthur,eng ENG,DF,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Ellery Balcombe,eng ENG,GK,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.2,39,GK
Ethan Brierley,eng ENG,MF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Benjamin Fredrick,ng NGA,DF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Charlie Goode,eng ENG,DF,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,39,DEF
Ryan Trevitt,eng ENG,MF,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Morgan Gibbs-White,eng ENG,"MF,FW",23.0,35,3156.0,35.1,5.0,10.0,4.0,1.0,1.0,9.0,0.0,6.9,6.1,8.4,80.0,170.0,181.0,0.14,0.29,0.11,0.4,0.2,0.24,0.44,0.17,NottinghamForest,142,59,1155.2,703.2,495.0,13,563,235.6,5,2.1,57,MID
Anthony Elanga,se SWE,"FW,MF",21.0,25,2433.0,27.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,6.6,6.6,6.7,98.0,49.0,196.0,0.18,0.33,0.18,0.52,0.24,0.25,0.49,0.24,NottinghamForest,119,47,441.6,536.4,618.0,5,386,159.2,2,1.1,49,MID
Ryan Yates,eng ENG,MF,25.0,21,1992.0,22.1,1.0,1.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,0.8,18.0,73.0,37.0,0.05,0.05,0.05,0.09,0.12,0.04,0.16,0.12,NottinghamForest,59,38,133.8,330.4,258.0,1,235,72.1,1,0.0,48,MID
