Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Phil Foden,eng ENG,"FW,MF",23.0,33,2857.0,31.7,19.0,8.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,93.0,168.0,269.0,0.6,0.25,0.6,0.85,0.33,0.26,0.59,0.33,ManchesterCity,230,27,1157.8,1154.8,1172.0,31,866,348.8,14,43.3,85,MID
Julián Álvarez,ar ARG,"MF,FW",23.0,31,2647.0,29.4,11.0,8.0,9.0,2.0,2.0,2.0,0.0,13.0,11.5,6.4,64.0,103.0,180.0,0.37,0.27,0.31,0.58,0.44,0.22,0.66,0.39,ManchesterCity,158,24,1005.2,737.0,992.0,17,662,273.3,12,15.4,64,FWD
Kyle Walker,eng ENG,DF,33.0,30,2767.0,30.7,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,74.0,157.0,172.0,0.0,0.13,0.0,0.13,0.01,0.09,0.1,0.01,ManchesterCity,123,29,534.1,465.4,126.0,13,633,112.6,10,15.1,55,DEF
Erling Haaland,no NOR,FW,23.0,29,2552.0,28.4,27.0,5.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,35.0,26.0,126.0,0.95,0.18,0.71,0.88,1.03,0.15,1.18,0.81,ManchesterCity,217,25,367.2,1094.6,1581.0,29,792,303.3,11,73.6,143,FWD
Manuel Akanji,ch SUI,"DF,MF",28.0,28,2511.0,27.9,2.0,0.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,0.5,46.0,148.0,36.0,0.07,0.0,0.07,0.07,0.07,0.02,0.09,0.07,ManchesterCity,112,23,298.7,536.4,137.0,8,560,97.4,11,5.6,50,DEF
Joško Gvardiol,hr CRO,DF,21.0,26,2328.0,25.9,4.0,1.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,1.4,63.0,136.0,115.0,0.15,0.04,0.15,0.19,0.12,0.06,0.18,0.12,ManchesterCity,123,23,362.2,544.4,389.0,12,549,129.7,9,18.1,52,DEF
Nathan Aké,nl NED,DF,28.0,24,2042.0,22.7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.2,24.0,116.0,18.0,0.09,0.09,0.09,0.18,0.11,0.05,0.16,0.11,ManchesterCity,99,20,197.7,447.2,249.0,6,483,89.7,6,5.2,50,DEF
Mateo Kovačić,hr CRO,MF,29.0,16,1551.0,17.2,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.6,37.0,100.0,38.0,0.06,0.0,0.06,0.06,0.07,0.09,0.17,0.07,ManchesterCity,59,14,365.9,265.0,129.0,2,316,76.0,9,0.3,46,MID
Kevin De Bruyne,be BEL,MF,32.0,15,1221.0,13.6,4.0,10.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,11.5,47.0,111.0,133.0,0.29,0.74,0.29,1.03,0.18,0.85,1.03,0.18,ManchesterCity,98,8,901.1,527.6,406.0,11,415,183.6,7,16.6,106,MID
John Stones,eng ENG,"DF,MF",29.0,12,1064.0,11.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,16.0,57.0,24.0,0.08,0.0,0.08,0.08,0.09,0.02,0.11,0.09,ManchesterCity,53,9,128.4,188.4,70.0,3,239,38.7,5,3.1,53,DEF
Jack Grealish,eng ENG,"FW,MF",27.0,10,1009.0,11.2,3.0,1.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,2.5,87.0,50.0,146.0,0.27,0.09,0.27,0.36,0.19,0.22,0.41,0.19,ManchesterCity,50,13,384.1,240.4,295.0,6,199,91.9,3,1.5,72,MID
Rico Lewis,eng ENG,"DF,MF",18.0,8,809.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,21.0,33.0,46.0,0.22,0.0,0.22,0.22,0.07,0.12,0.19,0.07,ManchesterCity,52,9,195.9,148.0,114.0,2,215,45.8,4,0.4,42,DEF
Oscar Bobb,no NOR,"FW,MF",20.0,2,302.0,3.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.2,13.0,25.0,38.0,0.3,0.3,0.3,0.6,0.41,0.37,0.78,0.41,ManchesterCity,30,5,147.1,105.4,107.0,2,112,36.0,1,0.1,44,MID
Kalvin Phillips,eng ENG,MF,27.0,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,ManchesterCity,10,13,23.3,35.6,31.0,0,27,9.1,0,0.0,47,MID
Sergio Gómez,es ESP,"FW,MF",22.0,0,53.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,2.0,4.0,0.0,1.7,0.0,1.7,0.41,0.31,0.73,0.41,ManchesterCity,9,2,23.0,22.6,10.0,0,24,5.6,0,1.0,38,DEF
Aymeric Laporte,es ESP,DF,29.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,ManchesterCity,1,0,0.1,11.4,17.0,0,4,2.9,0,0.1,49,DEF
Cole Palmer,eng ENG,MF,21.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,244,46,1022.5,1240.2,1016.0,32,844,327.8,7,51.3,63,MID
Scott Carson,eng ENG,GK,37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,38,GK
Micah Hamilton,eng ENG,MF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Máximo Perrone,ar ARG,MF,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,44,MID
Mahamadou Susoho,es ESP,DF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Jacob Wright,eng ENG,MF,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManchesterCity,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
William Saliba,fr FRA,DF,22.0,38,3420.0,38.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.2,16.0,157.0,6.0,0.05,0.03,0.05,0.08,0.04,0.01,0.05,0.04,Arsenal,164,29,152.1,697.2,140.0,13,781,99.1,18,39.1,59,DEF
Declan Rice,eng ENG,MF,24.0,37,3225.0,35.8,7.0,8.0,7.0,0.0,0.0,5.0,0.0,3.3,3.3,5.3,75.0,278.0,64.0,0.2,0.22,0.2,0.42,0.09,0.15,0.24,0.09,Arsenal,165,28,745.3,959.4,451.0,17,744,215.9,17,6.2,55,MID
Martin Ødegaard,no NOR,MF,24.0,35,3091.0,34.3,8.0,10.0,6.0,2.0,2.0,2.0,0.0,7.4,5.8,9.6,91.0,344.0,202.0,0.23,0.29,0.17,0.47,0.22,0.28,0.5,0.17,Arsenal,186,23,1499.4,910.4,757.0,26,703,317.0,19,18.0,86,MID
Ben White,eng ENG,DF,25.0,35,2988.0,33.2,4.0,4.0,4.0,0.0,0.0,8.0,0.0,1.2,1.2,3.8,44.0,192.0,162.0,0.12,0.12,0.12,0.24,0.03,0.11,0.15,0.03,Arsenal,182,26,589.4,765.8,234.0,14,776,159.0,18,23.3,61,DEF
Bukayo Saka,eng ENG,FW,21.0,35,2919.0,32.4,16.0,9.0,10.0,6.0,6.0,4.0,0.0,15.5,10.8,10.5,155.0,126.0,508.0,0.49,0.28,0.31,0.59,0.48,0.32,0.8,0.33,Arsenal,226,27,1319.8,1093.8,1342.0,29,776,375.7,16,49.2,88,MID
Gabriel Magalhães,br BRA,DF,25.0,34,3044.0,33.8,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.3,4.3,0.7,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.13,0.02,0.15,0.13,Arsenal,149,26,121.9,675.8,379.0,8,676,117.9,16,28.3,54,DEF
Kai Havertz,de GER,"MF,FW",24.0,30,2634.0,29.3,13.0,7.0,12.0,1.0,1.0,11.0,0.0,12.3,11.6,4.4,55.0,99.0,191.0,0.44,0.24,0.41,0.65,0.42,0.15,0.57,0.39,Arsenal,180,22,613.4,763.2,1027.0,15,515,240.2,16,11.9,76,MID
Gabriel Martinelli,br BRA,FW,22.0,24,2019.0,22.4,6.0,4.0,6.0,0.0,0.0,1.0,0.0,6.8,6.8,6.1,127.0,65.0,345.0,0.27,0.18,0.27,0.45,0.31,0.27,0.58,0.31,Arsenal,118,23,717.1,500.4,795.0,6,404,200.8,10,4.2,75,MID
Oleksandr Zinchenko,ua UKR,DF,26.0,20,1722.0,19.1,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.5,40.0,229.0,58.0,0.05,0.1,0.05,0.16,0.03,0.13,0.16,0.03,Arsenal,104,15,474.8,395.4,133.0,16,468,100.4,9,5.1,50,DEF
Leandro Trossard,be BEL,"FW,MF",28.0,18,1649.0,18.3,12.0,1.0,12.0,0.0,0.0,2.0,0.0,7.9,7.9,2.8,66.0,76.0,155.0,0.65,0.05,0.65,0.71,0.43,0.15,0.58,0.43,Arsenal,138,10,384.7,563.6,746.0,11,398,169.5,12,3.6,66,MID
Jakub Kiwior,pl POL,DF,23.0,11,946.0,10.5,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,4.0,55.0,16.0,0.1,0.29,0.1,0.38,0.08,0.09,0.16,0.08,Arsenal,67,8,106.9,228.8,90.0,1,260,42.7,6,0.6,40,DEF
Takehiro Tomiyasu,jp JPN,DF,24.0,10,1149.0,12.8,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.5,1.5,0.4,17.0,72.0,37.0,0.16,0.08,0.16,0.23,0.12,0.03,0.15,0.12,Arsenal,70,10,141.8,247.0,143.0,4,244,52.8,6,0.5,45,DEF
Eddie Nketiah,eng ENG,FW,24.0,10,1082.0,12.0,5.0,2.0,5.0,0.0,0.0,3.0,0.0,4.5,4.5,0.8,22.0,20.0,77.0,0.42,0.17,0.42,0.58,0.38,0.07,0.45,0.38,Arsenal,71,10,136.3,235.0,417.0,5,206,77.2,6,3.1,50,FWD
Thomas Partey,gh GHA,"MF,DF",30.0,9,788.0,8.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,15.0,72.0,10.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,Arsenal,24,5,122.9,117.6,37.0,0,142,27.8,5,0.1,48,MID
Aaron Ramsdale,eng ENG,GK,25.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,20,5,0.0,73.2,0.0,0,90,7.3,2,5.4,45,GK
Emile Smith Rowe,eng ENG,MF,23.0,3,353.0,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,11.0,23.0,18.0,0.0,0.25,0.0,0.25,0.5,0.06,0.56,0.5,Arsenal,25,3,72.2,62.4,128.0,0,73,25.6,3,0.1,53,MID
Reiss Nelson,eng ENG,FW,23.0,1,268.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,9.0,5.0,26.0,0.0,0.0,0.0,0.0,0.07,0.2,0.27,0.07,Arsenal,16,1,87.7,42.8,39.0,0,58,16.9,1,0.0,48,MID
Jurriën Timber,nl NED,DF,22.0,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,4.7,5.8,2.0,0,4,1.3,0,0.4,46,DEF
Mohamed Elneny,eg EGY,MF,31.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,Arsenal,6,0,2.1,4.0,10.0,0,16,1.6,0,0.1,44,MID
Ethan Nwaneri,eng ENG,FW,16.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,Arsenal,1,0,12.3,2.0,4.0,0,3,1.8,0,0.0,45,MID
Mauro Bandeira,pt POR,MF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Bradley Ibrahim,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Myles Lewis-Skelly,eng ENG,MF,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
James Sweet,wls WAL,DF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Reuell Walters,eng ENG,DF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Virgil van Dijk,nl NED,DF,32.0,36,3177.0,35.3,2.0,2.0,2.0,0.0,0.0,3.0,1.0,2.8,2.8,1.6,32.0,200.0,7.0,0.06,0.06,0.06,0.11,0.08,0.04,0.12,0.08,Liverpool,117,40,176.3,911.2,449.0,8,662,153.8,9,17.7,66,DEF
Luis Díaz,co COL,FW,26.0,32,2629.0,29.2,8.0,5.0,8.0,0.0,0.0,3.0,0.0,11.9,11.9,5.7,137.0,113.0,302.0,0.27,0.17,0.27,0.45,0.41,0.19,0.6,0.41,Liverpool,142,33,844.0,613.0,1190.0,9,413,264.6,7,10.0,76,MID
Alexis Mac Allister,ar ARG,MF,24.0,31,2599.0,28.9,5.0,5.0,4.0,1.0,1.0,7.0,1.0,3.7,2.9,3.6,44.0,209.0,48.0,0.17,0.17,0.14,0.31,0.13,0.12,0.25,0.1,Liverpool,109,34,726.7,712.4,224.0,12,512,166.2,6,3.9,59,MID
Mohamed Salah,eg EGY,FW,31.0,28,2534.0,28.2,18.0,10.0,13.0,5.0,7.0,2.0,0.0,21.2,15.5,11.8,98.0,147.0,341.0,0.64,0.36,0.46,0.82,0.75,0.42,1.17,0.55,Liverpool,211,30,892.2,1033.8,1531.0,24,621,346.0,8,24.0,134,MID
Trent Alexander-Arnold,eng ENG,DF,24.0,25,2155.0,23.9,3.0,4.0,3.0,0.0,0.0,6.0,0.0,2.6,2.3,7.2,45.0,205.0,97.0,0.13,0.17,0.13,0.29,0.11,0.3,0.41,0.1,Liverpool,122,28,1027.5,601.8,237.0,19,590,186.8,8,10.3,84,DEF
Dominik Szoboszlai,hu HUN,MF,22.0,25,2104.0,23.4,3.0,2.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,5.8,75.0,152.0,160.0,0.13,0.09,0.13,0.21,0.16,0.25,0.4,0.16,Liverpool,99,23,830.0,423.4,377.0,7,437,162.8,8,3.3,71,MID
Wataru Endo,jp JPN,MF,30.0,20,1722.0,19.1,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.5,1.7,10.0,101.0,21.0,0.05,0.0,0.05,0.05,0.03,0.09,0.12,0.03,Liverpool,47,16,269.5,281.6,53.0,0,250,60.1,6,0.1,54,MID
Andrew Robertson,sct SCO,DF,29.0,18,1693.0,18.8,3.0,2.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,5.4,63.0,140.0,130.0,0.16,0.11,0.16,0.27,0.1,0.29,0.39,0.1,Liverpool,76,22,936.1,552.2,230.0,8,463,171.9,3,4.2,65,DEF
Joe Gomez,eng ENG,DF,26.0,17,1786.0,19.8,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.3,44.0,100.0,105.0,0.0,0.05,0.0,0.05,0.04,0.07,0.1,0.04,Liverpool,76,19,338.3,316.0,119.0,2,390,77.7,7,1.3,45,DEF
Cody Gakpo,nl NED,"FW,MF",24.0,17,1649.0,18.3,8.0,5.0,8.0,0.0,0.0,1.0,0.0,9.0,9.0,2.9,43.0,83.0,130.0,0.44,0.27,0.44,0.71,0.49,0.16,0.64,0.49,Liverpool,106,20,348.2,521.4,708.0,12,409,157.1,5,3.1,71,FWD
Ibrahima Konaté,fr FRA,DF,24.0,17,1574.0,17.5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.4,24.0,118.0,3.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,Liverpool,56,19,139.9,357.4,87.0,2,315,58.5,6,2.0,49,DEF
Curtis Jones,eng ENG,MF,22.0,14,1167.0,13.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.6,2.6,0.7,31.0,74.0,88.0,0.08,0.08,0.08,0.15,0.2,0.05,0.25,0.2,Liverpool,40,19,203.2,174.0,195.0,2,171,57.0,2,0.1,49,MID
Jarell Quansah,eng ENG,DF,20.0,13,1190.0,13.2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,13.0,67.0,1.0,0.15,0.0,0.15,0.15,0.08,0.01,0.08,0.08,Liverpool,49,15,58.8,331.6,104.0,5,263,49.4,2,0.5,40,DEF
Ryan Gravenberch,nl NED,MF,21.0,12,1121.0,12.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9,39.0,78.0,71.0,0.08,0.0,0.08,0.08,0.16,0.07,0.23,0.16,Liverpool,45,17,229.4,187.0,198.0,3,176,61.5,3,0.1,50,MID
Harvey Elliott,eng ENG,"MF,FW",20.0,11,1352.0,15.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,3.5,44.0,128.0,122.0,0.2,0.4,0.2,0.6,0.18,0.23,0.42,0.18,Liverpool,96,13,570.0,417.2,391.0,8,402,137.5,4,0.4,48,MID
Conor Bradley,nir NIR,DF,20.0,10,753.0,8.4,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.5,35.0,29.0,64.0,0.12,0.36,0.12,0.48,0.1,0.17,0.28,0.1,Liverpool,50,7,215.8,230.4,160.0,7,211,60.6,3,2.1,41,DEF
Bobby Clark,eng ENG,MF,18.0,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,Liverpool,5,0,5.3,11.6,19.0,0,7,3.6,0,0.0,44,MID
Stefan Bajcetic,es ESP,MF,18.0,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,1,2,0.3,7.8,0.0,0,3,0.8,0,0.0,47,MID
Ben Doak,sct SCO,FW,17.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,1,0,0.8,0.2,0.0,0,3,0.1,0,0.0,43,MID
Jayden Danns,eng ENG,FW,17.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,1,0,3.7,0.0,0.0,0,1,0.2,0,0.0,43,FWD
Owen Beck,wls WAL,DF,20.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,1,0,0.3,5.0,0.0,0,2,0.5,0,0.0,45,DEF
James McConnell,eng ENG,MF,18.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,3,0,0.4,1.0,0.0,0,8,0.1,0,0.0,44,MID
Kaide Gordon,eng ENG,FW,18.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,1,0,0.3,0.2,2.0,0,3,0.3,0,0.0,45,MID
Luke Chambers,eng ENG,DF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Lewis Koumas,wls WAL,MF,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,FWD
Fabian Mrozek,pl POL,GK,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,GK
Amara Nallo,eng ENG,DF,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Ollie Watkins,eng ENG,FW,27.0,37,3217.0,35.7,19.0,13.0,19.0,0.0,0.0,4.0,0.0,16.8,16.8,7.3,62.0,55.0,214.0,0.53,0.36,0.53,0.9,0.47,0.21,0.68,0.47,AstonVilla,228,56,588.5,1024.6,1420.0,29,752,302.8,7,35.9,89,FWD
John McGinn,sct SCO,"MF,FW",28.0,35,2999.0,33.3,6.0,4.0,6.0,0.0,0.0,9.0,1.0,5.0,5.0,4.6,59.0,189.0,84.0,0.18,0.12,0.18,0.3,0.15,0.14,0.29,0.15,AstonVilla,119,54,690.7,640.4,360.0,9,502,169.4,7,0.9,53,MID
Pau Torres,es ESP,DF,26.0,27,2464.0,27.4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,42.0,128.0,16.0,0.07,0.0,0.07,0.07,0.04,0.02,0.05,0.04,AstonVilla,85,37,150.6,479.4,135.0,4,461,76.6,6,2.8,46,DEF
Lucas Digne,fr FRA,DF,30.0,27,2410.0,26.8,1.0,3.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,4.1,42.0,77.0,200.0,0.04,0.11,0.04,0.15,0.04,0.15,0.19,0.04,AstonVilla,85,41,601.7,448.4,200.0,5,420,125.1,6,3.1,46,DEF
Moussa Diaby,fr FRA,"FW,MF",24.0,25,2174.0,24.2,6.0,8.0,6.0,0.0,0.0,1.0,0.0,7.0,7.0,6.6,94.0,72.0,183.0,0.25,0.33,0.25,0.58,0.29,0.27,0.56,0.29,AstonVilla,142,40,617.8,515.4,675.0,10,429,180.6,8,5.8,63,MID
Matty Cash,pl POL,DF,25.0,23,2142.0,23.8,2.0,2.0,2.0,0.0,0.0,8.0,0.0,4.2,4.2,2.3,62.0,88.0,101.0,0.08,0.08,0.08,0.17,0.18,0.1,0.27,0.18,AstonVilla,64,36,231.8,465.2,378.0,4,337,107.1,3,9.9,45,DEF
Leon Bailey,jm JAM,"MF,FW",25.0,22,2068.0,23.0,10.0,9.0,10.0,0.0,0.0,5.0,0.0,6.3,6.3,9.2,102.0,82.0,226.0,0.44,0.39,0.44,0.83,0.27,0.4,0.67,0.27,AstonVilla,148,32,707.1,663.2,623.0,11,482,199.1,5,3.1,54,MID
Boubacar Kamara,fr FRA,MF,23.0,20,1652.0,18.4,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.1,0.1,1.3,19.0,83.0,10.0,0.0,0.05,0.0,0.05,0.01,0.07,0.08,0.01,AstonVilla,40,22,292.7,256.2,44.0,1,247,59.1,7,0.1,50,MID
Youri Tielemans,be BEL,"MF,FW",26.0,17,1622.0,18.0,2.0,6.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,2.6,23.0,128.0,46.0,0.11,0.33,0.11,0.44,0.07,0.14,0.21,0.07,AstonVilla,77,27,325.4,369.2,136.0,2,318,83.3,4,0.4,56,MID
Clément Lenglet,fr FRA,DF,28.0,14,1153.0,12.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.8,26.0,51.0,1.0,0.0,0.08,0.0,0.08,0.07,0.06,0.13,0.07,AstonVilla,24,27,41.8,250.6,103.0,0,207,39.5,2,0.2,45,DEF
Nicolò Zaniolo,it ITA,"FW,MF",24.0,9,839.0,9.3,2.0,0.0,2.0,0.0,0.0,7.0,0.0,2.6,2.6,1.0,35.0,30.0,60.0,0.21,0.0,0.21,0.21,0.28,0.11,0.39,0.28,AstonVilla,34,13,120.1,146.8,357.0,0,36,61.9,2,0.0,54,MID
Jacob Ramsey,eng ENG,"FW,MF",22.0,8,853.0,9.5,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,33.0,28.0,69.0,0.11,0.11,0.11,0.21,0.23,0.11,0.34,0.23,AstonVilla,29,12,159.3,124.0,182.0,0,101,46.7,0,0.1,59,MID
